수치지도 지형지물 표준코드(안),,,,,,,,,,,,,,,
No,대분류,중분류,소분류(지형지물명),통합코드,수치지도 1.0,,,,,,,,,수치지도 2.0,비고
,,,,,"1:5,000",,,"1:2,500",,,"1:1,000",,,,
,,,,,구조,표현,색상,구조,표현,색상,구조,표현,색상,구조,
114,,,온실,B0014117,면,,"R/G/B
0/0/0",면,,"R/G/B
0/0/0",면,,"R/G/B
0/0/0",,
115,,,가건물,B0014118,면,,"R/G/B
0/0/0",면,,"R/G/B
0/0/0",면,,"R/G/B
0/0/0",,
116,,,집단가옥경계,B0014119,면,,"R/G/B
0/0/0",,,,,,,,
117,,,(지방행정)미분류,B0014210,점,,,,,,,,,,
118,,,특별시청,B0014211,점,,"R/G/B
0/0/0",점,,"R/G/B
0/0/0",점,,"R/G/B
0/0/0",,
119,,,광역시청,B0014212,점,,"R/G/B
0/0/0",점,,"R/G/B
0/0/0",점,,"R/G/B
0/0/0",,
120,,,도청,B0014213,점,,"R/G/B
0/0/0",점,,"R/G/B
0/0/0",점,,"R/G/B
0/0/0",,
121,,,시청,B0014214,점,,"R/G/B
0/0/0",점,,"R/G/B
0/0/0",점,,"R/G/B
0/0/0",,
122,,,군청,B0014215,점,,"R/G/B
0/0/0",점,,"R/G/B
0/0/0",점,,"R/G/B
0/0/0",,
123,,,구청,B0014216,점,,"R/G/B
0/0/0",점,,"R/G/B
0/0/0",점,,"R/G/B
0/0/0",,
124,,,읍사무소,B0014217,점,,"R/G/B
0/0/0",,,,,,,,
125,,,주민센터,B0014218,점,,"R/G/B
0/0/0",점,,"R/G/B
0/0/0",점,,"R/G/B
0/0/0",,주기변경
126,,,면사무소,B0014219,점,,"R/G/B
0/0/0",,,,,,,,
127,,,(치안행정)미분류,B0014220,점,,,점,,"R/G/B
0/0/0",점,,"R/G/B
0/0/0",,
128,,,법원,B0014221,점,,"R/G/B
0/0/0",점,,"R/G/B
0/0/0",점,,"R/G/B
0/0/0",,
129,,,경찰청,B0014222,점,,"R/G/B
0/0/0",점,,"R/G/B
0/0/0",점,,"R/G/B
0/0/0",,
130,,,경찰서,B0014223,점,,"R/G/B
0/0/0",점,,"R/G/B
0/0/0",점,,"R/G/B
0/0/0",,심볼변경
131,,,"파출소,지서",B0014224,점,,"R/G/B
0/0/0",점,,"R/G/B
0/0/0",점,,"R/G/B
0/0/0",,심볼변경
132,,,"교도소,구치소",B0014225,점,,"R/G/B
0/0/0",점,,"R/G/B
0/0/0",점,,"R/G/B
0/0/0",,
133,,,소년원,B0014226,점,,"R/G/B
0/0/0",점,,"R/G/B
0/0/0",점,,"R/G/B
0/0/0",,
134,,,(기타행정1)미분류,B0014230,점,,,,,,,,,,
135,,,소방서,B0014231,점,,"R/G/B
0/0/0",점,,"R/G/B
0/0/0",점,,"R/G/B
0/0/0",,심볼변경
136,,,보건소,B0014232,점,,"R/G/B
0/0/0",점,,"R/G/B
0/0/0",점,,"R/G/B
0/0/0",,
137,,,세무서,B0014233,점,,"R/G/B
0/0/0",점,,"R/G/B
0/0/0",점,,"R/G/B
0/0/0",,
138,,,세관,B0014234,점,,"R/G/B
0/0/0",점,,"R/G/B
0/0/0",점,,"R/G/B
0/0/0",,
139,,,우체국,B0014235,점,,"R/G/B
0/0/0",점,,"R/G/B
0/0/0",점,,"R/G/B
0/0/0",,
140,,,"기상대, 측후소",B0014236,점,,"R/G/B
0/0/0",점,,"R/G/B
0/0/0",점,,"R/G/B
0/0/0",,
141,,,전화국,B0014237,점,,"R/G/B
0/0/0",점,,"R/G/B
0/0/0",점,,"R/G/B
0/0/0",,
142,,,병무청,B0014238,점,,"R/G/B
0/0/0",점,,"R/G/B
0/0/0",점,,"R/G/B
0/0/0",,
143,,,(기타행정2)미분류,B0014240,점,,,,,,,,,,
144,,,기타관공서,B0014241,점,,"R/G/B
0/0/0",점,,"R/G/B
0/0/0",점,,"R/G/B
0/0/0",,
145,,,농업기술센터,B0014242,점,,"R/G/B
0/0/0",점,,"R/G/B
0/0/0",점,,"R/G/B
0/0/0",,
146,,,지방산림청,B0014243,점,,"R/G/B
0/0/0",점,,"R/G/B
0/0/0",점,,"R/G/B
0/0/0",,심볼변경
147,,,(정부투자기관)미분류,B0014250,점,,,,,,,,,,
148,,,한국전력공사,B0014251,점,,"R/G/B
255/0/0",점,,"R/G/B
255/0/0",점,,"R/G/B
255/0/0",,
149,,,한국수자원공사,B0014253,점,,"R/G/B
0/0/255",점,,"R/G/B
0/0/255",점,,"R/G/B
0/0/255",,
150,,,한국도로공사,B0014254,점,,"R/G/B
0/0/0",점,,"R/G/B
0/0/0",점,,"R/G/B
0/0/0",,
151,,,한국토지주택공사,B0014255,점,,"R/G/B
0/0/0",점,,"R/G/B
0/0/0",점,,"R/G/B
0/0/0",,심볼변경
152,,,한국가스공사,B0014257,점,,"R/G/B
255/0/0",점,,"R/G/B
255/0/0",점,,"R/G/B
255/0/0",,
153,,,한국농어촌공사,B0014258,점,,"R/G/B
0/255/0",점,,"R/G/B
0/255/0",점,,"R/G/B
0/255/0",,
154,,,(공업)미분류,B0014310,점,,,,,,,,,,
155,,,공 장,B0014311,점,,"R/G/B
0/0/0",점,,"R/G/B
0/0/0",점,,"R/G/B
0/0/0",,
156,,,발전소,B0014312,점,,"R/G/B
255/0/0",점,,"R/G/B
255/0/0",점,,"R/G/B
255/0/0",,
157,,,변전소,B0014313,점,,"R/G/B
255/0/0",점,,"R/G/B
255/0/0",점,,"R/G/B
255/0/0",,
158,,,(상업)미분류,B0014320,점,,,점,,,점,,,,
159,,,시장,B0014321,점,,"R/G/B
0/0/0",점,,"R/G/B
0/0/0",점,,"R/G/B
0/0/0",,
160,,,백화점,B0014322,점,,"R/G/B
0/0/0",점,,"R/G/B
0/0/0",점,,"R/G/B
0/0/0",,
161,,,관광음식점,B0014323,점,,"R/G/B
0/0/0",점,,"R/G/B
0/0/0",점,,"R/G/B
0/0/0",,
162,,,시장경계,B0014324,면,,"R/G/B
0/0/255",면,,"R/G/B
0/0/0",면,,"R/G/B
0/0/0",,
163,,,(농업기타)미분류,B0014330,점,,,면,,,면,,,,
164,,,양수장,B0014331,점,,"R/G/B
0/0/255",면,,"R/G/B
0/0/255",면,,"R/G/B
0/0/255",,
